Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
home,52,51,48,51,52,102,46,130,0.000%,15.65793,593.06,152.97
predefinedDate,3,47,46,52,52,52,45,52,0.000%,3.29308,95.56,32.32
randomPageParseRandom,1,47,47,47,47,47,47,47,0.000%,21.27660,693.34,208.61
openPost,5,33,49,52,56,56,1,56,0.000%,5.90319,270.48,39.35
search,1,47,47,47,47,47,47,47,0.000%,21.27660,628.30,208.86
randomPageParseFirst,4,49,49,52,52,52,47,52,0.000%,6.02410,190.86,59.06
randomDate,2,48,47,49,49,49,47,49,0.000%,5.55556,161.16,54.53
Anonymous Script,1,794,794,794,794,794,794,794,0.000%,.81500,511.96,131.08
Debug Sampler,1,0,0,0,0,0,0,0,0.000%,âˆž,0.00,0.00
Main Script,1,3355,3355,3355,3355,3355,3355,3355,0.000%,.26137,662.77,169.70
TOTAL,71,105,48,52,74,794,0,3355,0.000%,18.55724,1489.72,381.44
